iter	Passed	Remaining
408	5427	7842
409	5436	7822
410	5439	7795
411	5443	7769
412	5447	7742
413	5456	7723
414	5458	7695
415	5461	7666
416	5463	7638
417	5465	7610
418	5469	7583
419	5477	7564
420	5481	7538
421	5485	7513
422	5488	7487
423	5498	7469
424	5501	7442
425	5507	7421
426	5511	7396
427	5515	7370
428	5518	7345
429	5521	7319
430	5524	7293
431	5530	7271
432	5533	7246
433	5536	7221
434	5539	7195
435	5542	7169
436	5547	7146
437	5550	7121
438	5555	7099
439	5559	7076
440	5574	7066
441	5578	7042
442	5588	7026
443	5594	7006
444	5607	6993
445	5609	6968
446	5612	6942
447	5614	6917
448	5616	6892
449	5619	6868
450	5627	6850
451	5631	6828
452	5635	6804
453	5643	6787
454	5647	6765
455	5650	6740
456	5652	6716
457	5662	6700
458	5666	6678
459	5670	6656
460	5678	6639
461	5682	6617
462	5686	6594
463	5689	6572
464	5699	6558
465	5703	6535
466	5705	6511
467	5707	6488
468	5710	6465
469	5719	6449
470	5723	6427
471	5726	6406
472	5734	6389
473	5737	6366
474	5739	6343
475	5741	6320
476	5744	6298
477	5746	6275
478	5755	6260
479	5759	6239
480	5763	6218
481	5772	6203
482	5776	6182
483	5779	6161
484	5783	6140
485	5792	6125
486	5794	6103
487	5796	6082
488	5799	6060
489	5801	6038
490	5804	6016
491	5812	6001
492	5817	5982
493	5820	5961
494	5828	5946
495	5832	5926
496	5834	5904
497	5836	5883
498	5839	5862
499	5841	5841
500	5850	5827
501	5854	5808
502	5858	5788
503	5867	5774
504	5871	5755
505	5874	5735
506	5878	5716
507	5886	5700
508	5888	5680
509	5890	5659
510	5893	5639
511	5895	5619
512	5898	5599
513	5906	5584
514	5910	5566
515	5914	5547
516	5925	5535
517	5927	5515
518	5929	5495
519	5933	5476
520	5936	5458
521	5957	5455
522	5963	5438
523	5965	5418
524	5967	5399
525	5969	5379
526	5971	5359
527	5973	5340
528	5977	5322
529	5982	5305
530	5984	5285
531	5986	5266
532	5988	5246
533	5989	5227
534	5991	5207
535	5993	5188
536	5998	5172
537	6000	5153
538	6002	5134
539	6005	5115
540	6007	5096
541	6009	5078
542	6016	5063
543	6019	5045
544	6021	5027
545	6024	5009
546	6026	4991
547	6029	4972
548	6037	4960
549	6041	4943
550	6046	4927
551	6058	4916
552	6061	4899
553	6065	4883
554	6068	4866
555	6071	4848
556	6074	4830
557	6076	4813
558	6079	4795
559	6092	4786
560	6096	4770
561	6104	4757
562	6107	4740
563	6109	4723
564	6112	4705
565	6114	4688
566	6117	4671
567	6137	4667
568	6145	4655
569	6149	4639
570	6153	4623
571	6162	4611
572	6165	4594
573	6167	4577
574	6170	4560
575	6173	4544
576	6186	4535
577	6201	4528
578	6204	4511
579	6206	4494
580	6209	4478
581	6212	4461
582	6216	4446
583	6219	4430
584	6224	4415
585	6233	4403
586	6236	4387
587	6240	4372
588	6249	4360
589	6251	4344
590	6254	4328
591	6256	4311
592	6259	4296
593	6262	4280
594	6266	4265
595	6270	4250
596	6274	4235
597	6284	4224
598	6286	4208
599	6289	4192
600	6291	4177
601	6294	4161
602	6305	4151
603	6308	4136
604	6314	4122
605	6318	4108
606	6322	4093
607	6326	4079
608	6335	4067
609	6338	4052
610	6340	4036
611	6343	4021
612	6346	4006
613	6353	3994
614	6357	3980
615	6361	3965
616	6364	3950
617	6372	3939
618	6375	3924
619	6377	3909
620	6381	3894
621	6383	3879
622	6410	3879
623	6414	3865
624	6421	3852
625	6431	3842
626	6440	3831
627	6444	3817
628	6486	3825
629	6489	3811
630	6491	3796
631	6501	3785
632	6505	3771
633	6509	3757
634	6518	3746
635	6521	3732
636	6526	3718
637	6535	3708
638	6537	3693
639	6539	3678
640	6542	3664
641	6544	3649
642	6547	3635
643	6555	3623
644	6559	3610
645	6563	3596
646	6571	3585
647	6574	3571
648	6576	3556
649	6578	3542
650	6581	3528
651	6584	3514
652	6601	3507
653	6612	3498
654	6615	3484
655	6620	3471
656	6624	3458
657	6627	3444
